Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTRA_1_151,INTRA,0.0014631,4.98,0.9,35.0,138.1,31.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_152,INTRA,0.00136215,4.98,0.9,35.0,138.2,28.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_153,INTRA,0.00116596,4.98,0.9,35.0,138.3,24.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_154,INTRA,0.000941303,4.98,0.9,35.0,138.4,22.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_155,INTRA,0.0007449,4.98,0.9,35.0,138.5,19.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_156,INTRA,0.000600351,4.98,0.9,35.0,138.6,17.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_157,INTRA,0.000372714,4.98,0.9,34.9,135.6,85.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_158,INTRA,0.00038687,4.98,0.9,34.9,135.7,81.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_159,INTRA,0.000413449,4.98,0.9,34.9,135.8,76.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_160,INTRA,0.000447408,4.98,0.9,34.9,135.9,72.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_161,INTRA,0.000475216,4.98,0.9,34.9,136.0,68.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_162,INTRA,0.000484987,4.98,0.9,34.9,136.1,64.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_163,INTRA,0.000479382,4.98,0.9,34.9,136.2,60.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_164,INTRA,0.000471968,4.98,0.9,34.9,136.3,57.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_165,INTRA,0.00047266,4.98,0.9,34.9,136.4,54.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_166,INTRA,0.000485919,4.98,0.9,34.9,136.5,52.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_167,INTRA,0.000520477,4.98,0.9,34.9,136.6,50.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_168,INTRA,0.000587904,4.98,0.9,34.9,136.7,48.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_169,INTRA,0.000685975,4.98,0.9,34.9,136.8,46.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_170,INTRA,0.00078991,4.98,0.9,34.9,136.9,45.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_171,INTRA,0.000870948,4.98,0.9,34.9,137.0,45.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_172,INTRA,0.000929588,4.98,0.9,34.9,137.1,44.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_173,INTRA,0.00100787,4.98,0.9,34.9,137.2,44.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_174,INTRA,0.00115192,4.98,0.9,34.9,137.3,44.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_175,INTRA,0.00134795,4.98,0.9,34.9,137.4,43.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_176,INTRA,0.00150775,4.98,0.9,34.9,137.5,42.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_177,INTRA,0.00154366,4.98,0.9,34.9,137.6,40.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_178,INTRA,0.00145852,4.98,0.9,34.9,137.7,39.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_179,INTRA,0.00134098,4.98,0.9,34.9,137.8,37.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_180,INTRA,0.00127194,4.98,0.9,34.9,137.9,34.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_181,INTRA,0.00125487,4.98,0.9,34.9,138.0,31.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_182,INTRA,0.00123594,4.98,0.9,34.9,138.1,28.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_183,INTRA,0.00116762,4.98,0.9,34.9,138.2,26.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_184,INTRA,0.00104508,4.98,0.9,34.9,138.3,23.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_185,INTRA,0.000896983,4.98,0.9,34.9,138.4,21.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_186,INTRA,0.000755834,4.98,0.9,34.9,138.5,18.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_187,INTRA,0.000639602,4.98,0.9,34.9,138.6,16.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_188,INTRA,0.00042599,4.98,0.9,34.8,135.6,82.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
