,code,source,proba1an
359,CPHL_INTER_5_2322,ZoneEarthquake,0.0035622
360,CPHL_INTER_5_2321,ZoneEarthquake,0.00343484
361,CPHL_INTER_5_2320,ZoneEarthquake,0.00358343
362,CJPS_1_1108,ZoneEarthquake,0.000507952
363,CJPS_1_1109,ZoneEarthquake,0.000503674
364,CJPS_1_1102,ZoneEarthquake,0.00054426
365,CJPS_1_1103,ZoneEarthquake,0.00053788
366,CJPS_1_1100,ZoneEarthquake,0.00058038
367,CJPS_1_1101,ZoneEarthquake,0.000561104
368,CJPS_1_1106,ZoneEarthquake,0.000530067
369,CJPS_1_1107,ZoneEarthquake,0.000518184
370,CJPS_1_1104,ZoneEarthquake,0.000538391
371,CJPS_1_1105,ZoneEarthquake,0.000537434
372,CPHL_INTRA_4_3956,ZoneEarthquake,0.00260574
373,CGR5_21_7870,ZoneEarthquake,0.000994511
374,CPHL_INTRA_5_4055,ZoneEarthquake,0.00070797
375,CPHL_INTRA_5_4054,ZoneEarthquake,0.000707956
376,CPHL_INTRA_4_3958,ZoneEarthquake,0.00320766
377,CGR5_21_7871,ZoneEarthquake,0.0010555
378,CPHL_INTRA_5_4051,ZoneEarthquake,0.00070801
379,CPHL_INTRA_5_4050,ZoneEarthquake,0.000708454
380,CPHL_INTRA_5_4053,ZoneEarthquake,0.000707955
381,CPHL_INTRA_5_4052,ZoneEarthquake,0.000707959
382,CPCF_INTRA_2_2021,ZoneEarthquake,0.0018042
383,CPCF_INTRA_12_7935,DomainEarthquake,0.000215375
384,CPCF_INTRA_12_7934,DomainEarthquake,0.000214337
385,CPCF_INTRA_12_7937,DomainEarthquake,0.000228446
386,CPCF_INTRA_12_7936,DomainEarthquake,0.000221247
387,CPCF_INTRA_12_7931,DomainEarthquake,0.000216042
388,CPCF_INTRA_12_7930,DomainEarthquake,0.000210809
389,CPCF_INTRA_12_7933,DomainEarthquake,0.000217233
390,CPCF_INTRA_12_7932,DomainEarthquake,0.000218941
391,CPCF_INTRA_12_7938,DomainEarthquake,0.000233375
