Code,Proba
CPCF_INTER_12_6432,0.00274162
CPCF_INTER_12_6439,0.010561
CPCF_INTER_12_6438,0.0107704
CPCF_INTRA_1_79,0.00293925
CPCF_INTER_1_1178,0.0167108
CPCF_INTER_1_1179,0.014652
CPCF_INTER_1_1176,0.0212107
CPCF_INTER_1_1177,0.0189963
CPCF_INTER_1_1174,0.0242402
CPCF_INTER_1_1175,0.0230336
CPCF_INTER_1_1172,0.0246684
CPCF_INTER_1_1173,0.0247654
CPCF_INTER_1_1170,0.0229213
CPCF_INTER_1_1171,0.0240361
CGR5_25_10488,0.00304995
CGR5_25_10489,0.00205078
CPCF_INTRA_2_1821,0.00123001
CGR5_25_10482,0.00221868
CGR5_25_10483,0.00301886
CGR5_25_10480,0.0013615
CGR5_25_10481,0.00170744
CGR5_25_10486,0.00492174
CGR5_25_10487,0.00417174
CGR5_25_10484,0.00404563
CGR5_25_10485,0.00485621
CGR5_12_6699,0.00129303
CPCF_INTRA_1_881,0.00332335
CGR5_12_6697,0.00113086
CPCF_INTRA_2_1742,0.00168887
CPCF_INTRA_2_1743,0.00155541
CPCF_INTRA_2_1740,0.00202682
CPCF_INTRA_2_1741,0.00185485
CPCF_INTRA_2_1746,0.00137314
CPCF_INTRA_2_1747,0.00136341
CPCF_INTRA_2_1744,0.00146332
CPCF_INTRA_2_1745,0.00140563
